PID,SalePrice
907135180,135674.57245697407
528181040,239260.8829518417
528175010,243449.7132212408
531379030,193741.85364718642
923275090,136226.63632378867
528181070,276133.9058266515
908103280,152602.39781462867
902201110,144438.42662168434
905103070,131133.61376173887
527162180,179630.7435632744
905450020,163955.7445577765
535301150,152145.0289876759
535451170,107897.49847750273
909250060,229244.41351805348
527254020,460551.46103841485
911128180,61481.04819004424
534475170,177985.75520728854
535402180,93294.79912058078
528235180,173606.916550891
907200130,120816.16865721205
906476030,211480.39120649546
923203090,144741.8284034836
903454020,83897.70749564283
534277060,102920.05757786892
535450220,129391.65345141571
527252090,400084.0901934416
535300040,132615.34052393865
533241010,246217.15149604715
903201090,166363.34184393473
921128030,322825.14244917594
535180020,155862.62079055607
527106050,166885.20192863978
903233050,131926.2065276294
527105010,166483.15901511256
907196050,206370.33268628316
535375010,85523.32051008334
909455040,169938.19811036717
911370410,217221.939502554
906223080,205460.80316696595
902204080,136361.50114406087
916225130,284848.9282510462
534400060,156062.27368221153
528178090,364617.79252917087
528235190,190649.3863780382
906477110,188737.7121253456
902106090,116290.65993889514
535327160,99248.82313740533
909129100,131572.49420909025
909281110,209380.96957574366
528188120,242100.55979240453
528150120,349184.3656997448
535125060,197127.23498835228
906380120,188734.24535417138
527451020,110538.84569605347
528429100,276416.2001091372
527132090,409560.4454155243
902427045,102484.29360004188
923276260,159510.34393539745
907290140,121698.96381010534
906380100,271366.542269493
527377110,176345.92544328375
535379110,131240.36843635887
527427230,143650.22493913537
905105010,119374.5730067729
533215080,251370.82486327644
903484080,21053.193963606842
528441080,272848.449877779
528120100,288541.58978475304
902301060,79238.18671579007
528231050,167719.65067206556
535353190,126894.11359988945
907201280,160584.77936091507
528315080,325696.073197132
531375060,159357.78826859547
906200230,244591.64585174434
527451550,111132.20337451436
902103090,132787.46187591413
534401190,141087.57199815754
909425085,279891.2013784684
526352080,182502.9019589438
907126050,174557.71383861918
905352180,274907.66725259507
533212060,146303.02717275918
527356050,125727.6171437325
534479240,143891.1772503294
906226130,165024.37332776887
923228210,69026.14197493205
903227080,123665.36396050686
535179120,110963.78273035167
908201100,54839.78230513958
532479050,123448.39531808626
534402060,134844.19680960663
902109160,163173.3262607213
904302030,166537.52219238132
902300215,121430.5191747765
903228070,94633.58705099719
902406070,117789.14938397752
907410020,175871.89705176745
528365090,348059.98514173133
534450110,58456.44291549362
527146135,464015.94112666696
535325340,164460.57832410838
534452060,120413.15229148557
535325090,123077.88402140746
534202130,135848.0317623564
528118020,340433.15413290635
527214050,499348.9691348919
907401060,215110.43601069367
905104210,101310.80556781637
905225080,253014.24824591866
535178060,150324.05995671498
914476450,194834.8030570289
533250050,247159.88656689785
535450070,145132.1653547259
528181060,276133.9058266515
535454100,131337.16277499776
534476080,170986.5335786459
909452114,216047.17681717547
903476090,130495.4302093205
904101040,181731.97085047653
534431030,138666.21930059884
910202060,107586.00008254219
916386090,252472.8037953279
527451460,102087.90639434336
528290120,202911.34435391333
531375090,155016.93238080246
527403040,151594.03913834598
535453020,151298.02786458563
911175360,83071.27355417749
528228545,162116.58957016235
534275100,119991.85134531325
528142040,350151.4140435904
527357110,120001.93033951102
528480170,295687.17721547093
905226030,97817.52172550466
905104110,121705.28047349257
528480070,255796.8989894311
528386040,437461.6536565949
535453100,108318.70174177736
907192030,198493.2296764208
905478030,148522.21682895068
527210050,461450.6524633602
535382020,202688.23172487924
528110070,343398.68714330904
902303100,162007.77313396148
903456090,111895.07944196649
528186080,300480.7032104102
909275310,234392.1848975066
908128100,178887.2236233945
908102140,120759.66633156361
531385060,181314.27423335798
902103100,154029.1444842806
528106010,356482.77447554143
534430080,141736.35592797725
533252130,262173.5725521967
528458160,304997.4430748052
902300110,114301.81027097208
528228275,196048.84068805492
907130060,166426.50521275355
905105190,123285.70217325585
908225240,85409.67888030689
528480060,271559.824924781
526355170,252450.5997169125
902105010,104913.31610225746
903225160,130253.62335767318
924151050,222294.73670657584
535456010,128867.39848978864
907130110,162362.6594227082
909451040,102088.91267558513
535126140,179429.9222931075
533253050,158448.0524468948
905480240,93515.40932442807
905479110,108824.64876747411
903233140,123607.09671995975
909254070,191348.50260190666
907250020,261408.00929787755
908102260,138851.6551306285
527403360,108731.96717412956
906225210,174922.4937531934
527359010,180020.1113103507
905100030,135274.97363092424
909250030,116784.09715694748
908225320,133644.39497012226
905201030,65135.04167733807
914474020,226806.522103508
532479020,125901.07438478572
528228575,220461.0083909165
527107240,166041.96069747396
533253210,187324.35519874468
527127150,352832.2080669375
531450120,217152.95995187853
905427050,145571.0335070612
527258010,454094.91636385396
906476140,194652.19736891193
533236090,311992.423603422
908103090,97143.7615512712
908250090,88946.62946708221
528181010,230993.60901048686
907227090,149005.8669313658
527302185,239773.69455612963
535426150,252626.72170225158
909254100,169962.67687159358
531382120,214122.89797545224
921201060,306036.1807454154
528180140,351484.24004950095
905402090,166929.31503530964
902207120,70545.71684232028
902134100,115044.29936970538
908178050,226321.4605846419
535451210,112897.61471049534
528114050,345206.32140635606
907203010,139901.32812967245
534151175,236526.90359460423
908228040,88289.06790514104
902110080,159796.91901261965
923277040,156908.95119465096
908204160,101989.40955493646
905402110,124941.524068214
905102060,124787.08967429725
902402010,171773.9847236271
527107130,214904.136783754
909251030,179676.99930920824
903225040,124795.52949734218
902405120,141696.57538044918
534201280,128756.51531250309
527451290,82916.91631159
905451390,156937.93070578855
528456200,237603.2861551433
902110130,107908.1283133789
528112010,301154.60629709205
905226130,137454.72772794403
905108120,136465.53413934074
532353120,114383.2115722443
528120030,345009.7497673123
527450110,103638.84779509017
533244040,323629.03843161836
910205120,113358.87947160983
535452100,133370.55688307388
528106050,387644.78093930427
909100170,103560.02284860518
531453040,201901.3918815083
535304060,123544.04198198067
528431120,247899.11168759316
904100170,141717.89147423906
528218090,177343.7205232815
527131110,444638.15859363414
533208010,193338.60756094195
906226080,164555.32250041934
535152200,131623.52500249445
528231020,186628.60796263954
911128010,116736.55001710728
527455250,126573.0430432586
